Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,MaxUsageFactor,MountDir,MountName,NoBackup,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
551212,,538.293,0.526,bw-ec_share bw-ctg_mtl_gml_asim ibw-ec_eda_com_disk001 itools ibw-ec_scripts_disk001 ibw_ec_restore_disk001 gen_adm_cmcc ,false,22798714,388820,379.707,0.371,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,ecvol1,aggr0,,bwnap03a,04/14/2014 04:30:14,25,false,1.2,/nfs/site/stod,,false,false,51.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:30:46,,783360,765.0,0.747,921600,900,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,202120,Active,2,30475860,NETAPP,192161,187.657,0.183,04/14/2014 04:30:14,187.657,0.183,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,,false,31689821,1471913,1437.415,1.404,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,ecvol2,aggr0,,bwnap03a,04/14/2014 04:38:17,0,false,1.412,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:30:46,,1042432,1018.0,0.994,1042432,1018,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,31689917,NETAPP,2973,2.903,0.003,04/14/2014 04:38:17,2.903,0.003,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,,1.0,0.001,ibw_disks_mcg_snv_cov0001 ,true,24890413,3072,3.0,0.003,1,,4,,0,,,1,false,,false,,ibw,false,,disabled,incavol1,aggr0,,bwnap02b,04/14/2014 04:33:19,0,false,1.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,4096,4.0,0.004,5120,5,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,24903665,NETAPP,804,0.785,0.001,04/14/2014 04:33:19,0.785,0.001,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,,1.0,0.001,ibw_disks_mcg_snv_cov0002 ,true,24898958,3072,3.0,0.003,1,,4,,0,,,1,false,,false,,ibw,false,,disabled,incavol2,aggr0,,bwnap02b,04/14/2014 04:33:50,0,false,1.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,4096,4.0,0.004,5120,5,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,24903665,NETAPP,79,0.077,0.0,04/14/2014 04:33:50,0.077,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,,1.0,0.001,ccdo.hdk.ip_releases.000 ,false,0,9216,9.0,0.009,1,,4,,0,,,1,false,MCG,false,,ibw,true,,,pdxfs197a_pdx_vol9,aggr0,,bwnap02a,04/14/2014 04:29:10,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,CRC,,0,12/27/2013 12:14:51,,1024,1.0,0.001,1024,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,0,0.0,0.0,04/14/2014 04:29:10,0.0,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,ccdo.hdk.models.000 ccdo.hdk.models.001 ,false,0,1536000,1500.0,1.465,1,,4,,0,,,1,false,CCDO,false,,ibw,true,,,pdxfs203a_pdx_vol1,aggr0,,bwnap02a,04/14/2014 04:38:34,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,hsw,,0,07/08/2013 09:01:06,,204800,200.0,0.195,204800,200,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,6,0.006,0.0,04/14/2014 04:38:34,0.006,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509952,,498.0,0.486,ccdo.hdk.ip_models.005 ,false,0,2048,2.0,0.002,1,,4,,0,,,1,false,MCG,false,,ibw,true,,,pdxfs204a_pdx_vol1,aggr0,,bwnap02a,04/14/2014 04:38:39,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,CRC,,0,07/08/2013 09:52:29,,51200,50.0,0.049,51200,50,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,0,0.0,0.0,04/14/2014 04:38:39,0.0,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227776,,1199.0,1.171,ccdo.hdk.models.002 ,false,0,1024,1.0,0.001,1,,4,,0,,,1,false,MCG,false,,ibw,true,,,pdxfs223a_pdx_vol0,aggr0,,bwnap02a,04/14/2014 04:30:18,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,CRC,,0,07/08/2013 09:11:01,,122880,120.0,0.117,122880,120,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,6,0.006,0.0,04/14/2014 04:30:18,0.006,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664576,,649.0,0.634,ccdo.hdk.ip_releases.001 ,false,0,52224,51.0,0.05,1,,4,,0,,,1,false,MCG,false,,ibw,true,,,pdxfs223a_pdx_vol1,aggr0,,bwnap02a,04/14/2014 04:38:22,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,CRC,,0,12/27/2013 12:16:06,,71680,70.0,0.068,71680,70,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,0,0.0,0.0,04/14/2014 04:38:22,0.0,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509952,,498.0,0.486,ccdo.hdk.ip_models.004 ,false,0,2048,2.0,0.002,1,,4,,0,,,1,false,MCG,false,,ibw,true,,,pdxfs223b_pdx_vol1,aggr0,,bwnap02a,04/14/2014 04:33:36,0,true,10.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,CRC,,0,07/08/2013 09:51:44,,51200,50.0,0.049,51200,50,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,2,0.002,0.0,04/14/2014 04:33:36,0.002,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
