Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ibw_cse_disk002,0,mmielck
0,0,0,0,0,0,0,ibw,root,Unlimited,1,/nfs/ibw/disks/ibw_cse_disk002,0,root
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/disks/ibw_cse_disk002,0,*
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ibw_conf_papers,0,rgoettsc
0,0,0,0,0,0,0,ibw,,Unlimited,2,/nfs/ibw/gen/adm/linuxset,0,27072
0,0,0,0,0,0,0,ibw,,Unlimited,7,/nfs/ibw/gen/adm/linuxset,0,500
0,0,0,0,0,0,0,ibw,,Unlimited,2,/nfs/ibw/gen/adm/linuxset,0,4294967294
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/gen/adm/linuxset,0,csacker
0,0,0,0,0,0,0,ibw,root,Unlimited,5,/nfs/ibw/gen/adm/sudo,0,root
0,0,0,0,0,0,0,ibw,chip,Unlimited,4,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,dpjohns1
0,0,0,0,0,0,0,ibw,chip,Unlimited,8,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,dpkoskam
0,0,0,0,0,0,0,ibw,chip,Unlimited,15,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,jecassis
0,0,0,0,0,0,0,ibw,chip,Unlimited,10,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,lchong4
0,0,0,0,0,0,0,ibw,chip,Unlimited,17,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,bbczisny
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,aseshagi
0,0,0,0,0,0,0,ibw,chip,Unlimited,9,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,tong5
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,msheriff
0,0,0,0,0,0,0,ibw,chip,Unlimited,5,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,mroggenb
0,0,0,0,0,0,0,ibw,chip,Unlimited,9,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,ssarma1
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,vjgrossn
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,nabaziz
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,glim6
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,vupadhya
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.ip_downloads.000,0,mwoodruf
