Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,cifs ,true,7752349,217600,212.5,0.208,1,gksnbu001.igk.intel.com,4,,0,gksbak0101-MSDP,,1,false,,false,,igk,false,,disabled,root,aggr0,,gknap01a,07/07/2014 10:33:11,0,false,07/07/2014 19:46:42,217600,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:23:09,,217600,212.5,0.208,256000,250,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,7030,6.865,0.007,07/07/2014 10:33:11,6.865,0.007,flex,5.98,,false,true,4.91,365.0,637228.0,7.1,283.0,650.0,1782.0,46.1,1.0
0,,0.0,0.0,true,cifs ,true,7760329,217600,212.5,0.208,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,disabled,root,aggr0,,gknap01b,07/07/2014 18:35:00,0,false,07/07/2014 19:35:16,217600,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:20:25,,217600,212.5,0.208,256000,250,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,7017,6.853,0.007,07/07/2014 18:35:00,6.853,0.007,flex,4.96,,false,true,3.26,303.0,636213.0,6.47,290.0,595.0,1750.0,48.3,1.0
0,,0.0,0.0,true,,true,22223363,261120,255.0,0.249,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,disabled,root,aggr0,,gknap02a.igk.intel.com,07/07/2014 04:53:58,0,false,07/07/2014 19:49:30,261120,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/26/2014 14:17:34,,261120,255.0,0.249,307200,300,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,22230964,NETAPP,5058,4.939,0.005,07/07/2014 04:53:58,4.939,0.005,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,22223186,291840,285.0,0.278,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,disabled,root,aggr0,,gknap02b.igk.intel.com,07/07/2014 07:16:01,0,false,07/07/2014 19:06:58,291840,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid4,0,03/26/2014 14:20:06,,291840,285.0,0.278,307200,300,0,0,0,0,0,0,0,0,0,0,0,,5,,0.0,0.0,0.0,0,Active,3,22230964,NETAPP,2648,2.586,0.003,07/07/2014 07:16:01,2.586,0.003,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3960159,,3867.343,3.777,true,igk_ec_eda_disk0001 igk_ec_eda_disk0000 igk_gen_platform igk_gen_adm_nas igk_gen_adm_ssh igk_proj_cas_linux igk_ec_disks_linktree igk_gen_adm_csd igk_disks_igk_itpwiki igk_ec_nis2links_backup igk_ec_proj_linktree igk_gen_adm_ecdw igk_gen_adm_websupport igk_ec_local igk_ec_disk003 igk_ec_mysql_backup igk_gen_adm_ssh_prv igk_gen_adm_dsttm igk_ec_labsoftware igk_ec_vmware_lab_disk001 igk_proj_cas_windows igk_ec_disk001 igk_gen_adm_nebulous igk_gen_adm_netbatch igk_disks_igk_gen_adm_ecgo igk_gen_adm igk_gen_adm_osgot igk_ec_eda_disk0002 igk_gen_adm_webdata igk_dsd_ftf20 igk_ec_itools ,false,20738673,69042,67.424,0.066,1,gksnbu001.igk.intel.com,4,,0,gksbak0101-MSDP,,1,false,,false,,igk,false,,enabled,vol0,aggr0,,gknap01a,07/07/2014 01:38:29,35,false,07/07/2014 19:46:42,69042,1.194,/nfs/site/stod,,false,0,false,29.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:23:09,,3374541,3295.45,3.218,3970048,3877,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,646674,Active,2,31876689,NETAPP,1543955,1507.769,1.472,07/07/2014 01:38:29,1507.769,1.472,flex,15.16,,false,false,7.3,85.0,15498.0,2160.18,0.0,86.0,39968.0,187.11,0.0
4014080,,3920.0,3.828,true,igk_vpg_trcc01 igk_csg_ufs_win_drv igk_csg_avs_speechdata2 igk_idg_fpga01 igk_psg_molettebend_g_disk001 igk_csg_datacollectionapp ,false,22539091,35369,34.54,0.034,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,enabled,vol0,aggr0,,gknap01b,07/07/2014 12:07:20,29,false,07/07/2014 19:35:16,35369,1.2,/nfs/site/stod,,false,0,false,30.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:20:25,,3374541,3295.45,3.218,3970048,3877,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,934510,Active,2,31876689,NETAPP,2139803,2089.651,2.041,07/07/2014 12:07:20,2089.651,2.041,flex,3.55,,false,false,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,31876593,8388608,8192.0,8.0,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,enabled,vol0,aggr0,,gknap02a.igk.intel.com,07/07/2014 16:53:23,0,false,07/07/2014 19:49:30,8388608,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/26/2014 14:17:34,,8388608,8192.0,8.0,9868951,9637,9,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,9,0.009,0.0,07/07/2014 16:53:23,0.009,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3246580,,3170.488,3.096,true,igk_gen_adm_crash igk-gwa igk_disks_migration_test_area ,true,236195477,974,0.951,0.001,1,,4,,0,,,1,false,,false,,igk,false,,,vol1,,,gkefs01a.igk.intel.com,07/07/2014 03:43:57,8,false,07/07/2014 19:45:08,974,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,03/22/2011 12:36:09,,3247554,3171.439,3.097,3247554,3171,3,0,0,0,5,0,0,0,0,1,0,,0,,0.0,0.0,0.0,0,Active,3,257949694,EMC,2348351,2293.312,2.24,07/07/2014 03:43:57,2293.312,2.24,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3896420,,3805.098,3.716,true,igk_dsd_sam igk_vpg_gfxbench igk_cpg_trelliscruzbay_builds igk-vcg-validate igk_ccg_vlv2 igk_pccs_backups igk_disks_igk_vpg_gdcompute igk_ccg_vega_builds igk_vpg_vt igk-ccg_cpt igk_pcg_peachcove igk_ec_krb_test igk-ccg_linux_swraid igk-ccg_usb3sw_disk001 igk_ec_vobs2 igk_apss_fnv_fw igk_ec_vamarket igk_proj_ocl igk_vpg_vttools igk_disks_igk_processteam_releases igk_dsd_castlecrest_storage ,false,28500262,153029,149.442,0.146,1,gksnbu001.igk.intel.com,4,,0,gksbak0101-MSDP,,1,false,,false,,igk,false,,enabled,vol1,aggr0,,gknap01a,07/07/2014 10:18:18,11,false,07/07/2014 19:46:42,153029,1.2,/nfs/site/stod,,false,0,false,38.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:23:09,,3374541,3295.45,3.218,3970048,3877,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,857901,Active,2,31876689,NETAPP,1414812,1381.652,1.349,07/07/2014 10:18:18,1381.652,1.349,flex,9.68,,false,false,6.23,290.0,79809.0,469.38,1.0,294.0,80316.0,169.8,2.0
3512320,,3430.0,3.35,true,igk_idg_fpga02 igk_csg_avs_speechdata igk_csg_rst_disk01 ,false,26831594,577,0.563,0.001,1,gksnbu001.igk.intel.com,4,,0,gksbak003-004-gksecpd001-PD,,1,false,,false,,igk,false,,enabled,vol1,aggr0,,gknap01b,07/07/2014 10:03:57,16,false,07/07/2014 19:35:16,577,1.041,/nfs/site/stod,,false,0,false,4.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/08/2012 14:20:25,,3374541,3295.45,3.218,3970048,3877,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,147574,Active,2,31876689,NETAPP,2883732,2816.145,2.75,07/07/2014 10:03:57,2816.145,2.75,flex,3.33,,false,false,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
