Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
1076224,,1051.0,1.026,false,11 12 8051 8188 ,true,0,297835,290.854,0.284,1,,4,,0,,,1,false,,false,,ir,false,,,0,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 11:44:25,0,false,,297835,1.0,/nfs/site/stod,,false,0,false,0.0,1_1_6:1_1_5:1_1_4:1_1_3:1_1_2,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1050624,1026.0,1.002,07/07/2014 11:44:25,1026.0,1.002,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074176,,1049.0,1.024,false,8189 8080 ,true,0,299883,292.854,0.286,1,,4,,0,,,1,false,,false,,ir,false,,,1,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 12:27:44,0,false,,299883,1.0,/nfs/site/stod,,false,0,false,0.0,1_1_1:1_1_0:1_0_14:1_0_13:1_0_12,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1048576,1024.0,1.0,07/07/2014 12:27:44,1024.0,1.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081344,,1056.0,1.031,false,8144 8142 8079 8078 8095 8119 8141 8168 8143 8166 8165 8177 8167 ,true,0,292715,285.854,0.279,1,,4,,0,,,1,false,,false,,ir,false,,,10,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 13:57:13,0,false,,292715,1.0,/nfs/site/stod,,false,0,false,0.0,3_0_11:3_0_10:3_0_9:3_0_8:3_0_7,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1030144,1006.0,0.982,07/07/2014 13:57:13,1006.0,0.982,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081344,,1056.0,1.031,false,8118 8123 8176 8163 8076 8139 8140 8077 8138 8162 8161 8137 8164 ,true,0,292715,285.854,0.279,1,,4,,0,,,1,false,,false,,ir,false,,,11,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 08:53:12,0,false,,292715,1.0,/nfs/site/stod,,false,0,false,0.0,3_0_6:3_0_5:3_0_4:3_0_3:3_0_2,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1030144,1006.0,0.982,07/07/2014 08:53:12,1006.0,0.982,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081344,,1056.0,1.031,false,8157 8158 8175 8160 8159 8133 8134 8122 8074 8136 8135 8117 8075 ,true,0,292715,285.854,0.279,1,,4,,0,,,1,false,,false,,ir,false,,,12,,Fibre,irecx4480ec02a.ir.intel.com,07/06/2014 23:46:07,0,false,,292715,1.0,/nfs/site/stod,,false,0,false,0.0,3_0_1:3_0_0:2_0_14:2_0_13:2_0_12,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1030144,1006.0,0.982,07/06/2014 23:46:07,1006.0,0.982,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081344,,1056.0,1.031,false,8155 8153 8121 8073 8154 8132 8130 8116 8174 8156 8072 8131 8129 ,true,0,292715,285.854,0.279,1,,4,,0,,,1,false,,false,,ir,false,,,13,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 10:38:30,0,false,,292715,1.0,/nfs/site/stod,,false,0,false,0.0,2_0_11:2_0_10:2_0_9:2_0_8:2_0_7,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1030144,1006.0,0.982,07/07/2014 10:38:30,1006.0,0.982,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081344,,1056.0,1.031,false,8151 8127 8070 8152 8128 8125 8071 8120 8150 8173 8149 8108 8126 ,true,0,292715,285.854,0.279,1,,4,,0,,,1,false,,false,,ir,false,,,14,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 09:33:14,0,false,,292715,1.0,/nfs/site/stod,,false,0,false,0.0,2_0_6:2_0_5:2_0_4:2_0_3:2_0_2,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1030144,1006.0,0.982,07/07/2014 09:33:14,1006.0,0.982,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274811,,268.37,0.262,false,8191 ,true,0,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ir,false,,,15,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 19:42:13,0,false,,0,1.0,/nfs/site/stod,,false,0,false,0.0,2_0_1,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,hot_spare,0,10/28/2011 15:18:42,,274811,268.37,0.262,274811,268,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,274811,268.37,0.262,07/07/2014 19:42:13,268.37,0.262,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274811,,268.37,0.262,false,8190 ,true,0,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ir,false,,,16,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 15:31:13,0,false,,0,1.0,/nfs/site/stod,,false,0,false,0.0,2_0_0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,hot_spare,0,10/28/2011 15:18:42,,274811,268.37,0.262,274811,268,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,274811,268.37,0.262,07/07/2014 15:31:13,268.37,0.262,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077248,,1052.0,1.027,false,13 8063 3 8064 2 ,true,0,296811,289.854,0.283,1,,4,,0,,,1,false,,false,,ir,false,,,2,,Fibre,irecx4480ec02a.ir.intel.com,07/07/2014 12:31:36,0,false,,296811,1.0,/nfs/site/stod,,false,0,false,0.0,1_0_11:1_0_10:1_0_9:1_0_8:1_0_7,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,r5,0,10/28/2011 15:18:42,,1374059,1341.854,1.31,1374059,1341,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,,0.0,0.0,0.0,0,Active,0,0,CLARIION,1026048,1002.0,0.979,07/07/2014 12:31:36,1002.0,0.979,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
