Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,true,7770713,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,disabled,root,aggr0,,swnap01a.isw.intel.com,07/07/2014 12:14:35,0,false,07/07/2014 19:43:12,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:49:45,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,7300,7.129,0.007,07/07/2014 12:14:35,7.129,0.007,flex,6.29,,false,true,4.69,375.0,348879.0,7.49,340.0,718.0,2686.0,75.33,2.0
0,,0.0,0.0,true,,true,7770715,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,disabled,root,aggr0,,swnap01b.isw.intel.com,07/06/2014 22:50:06,0,false,07/07/2014 19:49:23,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:50:07,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,7160,6.992,0.007,07/06/2014 22:50:06,6.992,0.007,flex,6.53,,false,true,6.17,575.0,369314.0,6.77,360.0,938.0,1942.0,61.84,2.0
3038348,,2967.137,2.898,true,ISW-IT_ec_netbackup ISW-DHG_eda_disk0001 ISW-DHG_eda_disk0000 ISW-IAG_eda_disk0003 ISW-DHG_eda_group ISW-DHG_eda_license ISW-IT_ec_disk001 ISW-IT_ec_netbackup_eval ISW-IAG_eda_disk0002 ISW-DHG_dtd_proj_com ISW-IT_ec_tools_disk001 ISW-DHG_home isw_gen_adm_crash ISW-IT_ec_gen_platforms ISW-IT_ec_gen_adm ISW-EC_restore ISW-DHG_eda_adm ISW-IT_ec_gen_adm_disk001 ISW-IT_ec_commontools isw_disks_iir-ec_local_disk001 ISW-DHG_eda_tools ISW-DHG_dtd_proj_com_disk001 ,false,4168814,34512,33.703,0.033,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,enabled,vol0,aggr0,,swnap01a.isw.intel.com,07/07/2014 10:27:52,88,false,07/07/2014 19:43:12,34512,1.2,/nfs/site/stod,,false,0,false,44.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:49:45,,2560717,2500.7,2.442,3012608,2942,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,1204542,Active,2,35064340,NETAPP,1482025,1447.29,1.413,07/07/2014 10:27:52,1447.29,1.413,flex,38.14,,false,false,18.94,903.0,1390834.0,640.91,27.0,932.0,23509.0,508.3,1.0
2417674,,2361.01,2.306,true,ISW-SSG_dpd_pat_disk001 ISW-DHG_demodsys_disk003 ISW-DHG_demodsys_disk004 ISW-DHG_dtd_alliance ISW-DHG_demodsys_disk002 ISW_CC-acecoe ISW-DHG_demodsys_disk001 ISW-DHG_dtd_sync_client ,true,30461870,143043,139.69,0.136,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,enabled,vol0,aggr0,,swnap01b.isw.intel.com,07/06/2014 22:14:53,4,false,07/07/2014 19:49:23,143043,1.0,/nfs/site/stod,,false,0,false,22.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:50:07,,2560717,2500.7,2.442,3012608,2942,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,412771,Active,2,31876689,NETAPP,1446189,1412.294,1.379,07/06/2014 22:14:53,1412.294,1.379,flex,668.83,,false,false,836.97,60.0,62548.0,917.85,0.0,84.0,792922.0,194.49,22.0
1803265,,1761.001,1.72,true,ISW-DHG_dtd_scratch ISW-HIP_coe73_disk033 isw_disks_isw_coe73_disk021 isw_disks_isw_pvx_disk005 ISW-DHG_dtd_scratch_tuner ISW-HIP_coe73_disk052 ,true,29770091,756735,738.999,0.722,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,disabled,vol1,aggr0,,swnap01a.isw.intel.com,07/07/2014 09:15:12,7,false,07/07/2014 19:43:12,756735,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:49:45,,2560000,2500.0,2.441,2560000,2500,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,652701,637.403,0.622,07/07/2014 09:15:12,637.403,0.622,flex,20.55,,false,false,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426880,,2370.0,2.314,true,ISW-HIP_pvx_disk001 isw_disks_isw_coe69_disk004 ISW-HIP_coe73_disk011 ,true,28890738,133120,130.0,0.127,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,disabled,vol1,aggr0,,swnap01b.isw.intel.com,07/07/2014 05:25:27,9,false,07/07/2014 19:49:23,133120,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:50:07,,2560000,2500.0,2.441,2560000,2500,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,1319457,1288.532,1.258,07/07/2014 05:25:27,1288.532,1.258,flex,41.23,,false,false,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055168,,2007.0,1.96,true,ISW-HIP_coe73_disk049 ISW-HIP_coe73_disk042 ISW-HIP_coe73_disk034 ,true,20186787,504832,493.0,0.481,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,disabled,vol10,aggr0,,swnap01a.isw.intel.com,07/07/2014 06:31:59,37,false,07/07/2014 19:43:12,504832,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/02/2013 15:19:40,,2560000,2500.0,2.441,2560000,2500,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,1130054,1103.568,1.078,07/07/2014 06:31:59,1103.568,1.078,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2547318,,2487.615,2.429,true,ISW-DHG_dtd_coe69dot0_data ISW-DHG_dtd_coe69_data ISW-DHG_dtd_coe69 ISW-DHG_dtd_proj_vt ISW-DHG_dtd_coe69_disk001 ISW-DHG_dtd_proj_kits_disk001 ISW-DHG_edatools_disk001 ISW-DHG_dtd_coe69_disk002 ISW-DHG_dtd_coe69_libs ISW-DHG_dtd_da_data ISW-DHG_dtd_cse ISW-DHG_dtd_poseyville ISW-DHG_dtd_seg ISW-DHG_dtd_coe69_work ISW-HIP_matlab_disk001 ,true,12498903,13399,13.085,0.013,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,enabled,vol2,aggr0,,swnap01a.isw.intel.com,07/07/2014 11:33:17,61,false,07/07/2014 19:43:12,13399,1.0,/nfs/site/stod,,false,0,false,32.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:49:45,,2560717,2500.7,2.442,3012608,2942,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,533574,Active,2,31876689,NETAPP,1090659,1065.097,1.04,07/07/2014 11:33:17,1065.097,1.04,flex,368.69,,false,false,756.16,22.0,1138201.0,356.48,17.0,98.0,3813650.0,222.65,58.0
2080768,,2032.0,1.984,true,ISW-DHG_dtd_cse_disk001 ISW-HIP_pvx_disk003 ISW-DHG_dtd_cse_data ISW-HIP_coe69_disk003 ISW-DHG_dtd_coe69_scratch ISW-HIP_pvx_disk002 ,true,13068031,479949,468.7,0.458,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,enabled,vol2,aggr0,,swnap01b.isw.intel.com,07/07/2014 09:08:26,59,false,07/07/2014 19:49:23,479949,1.0,/nfs/site/stod,,false,0,false,55.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:50:07,,2560717,2500.7,2.442,3012608,2942,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,941098,Active,2,31876689,NETAPP,755143,737.444,0.72,07/07/2014 09:08:26,737.444,0.72,flex,167.33,,false,false,134.13,740.0,39341.0,2140.44,13.0,774.0,28409.0,91.61,20.0
2521088,,2462.0,2.404,true,ISW-HIP_isw_coe73_disk054 isw-nfs.mount.disk001 ISW-IAG_eda_disk0004 ISW-IAG_socenv_disk003 ISW-IAG_socenv_disk006 isw_hip_socenv_disk010 ISW-HIP_coe71_isclk71 ISW-IAG_socenv_disk004 isw_disks_isw_socenv_disk007 isw_disks_an_umg_disk1315 ,true,15118668,39629,38.7,0.038,1,cmsbak002.isw.intel.com,1,,0,swsbak001-swspd001-PDDO,,1,false,,false,,isw,false,,enabled,vol3,aggr0,,swnap01a.isw.intel.com,07/07/2014 10:46:52,53,false,07/07/2014 19:43:12,39629,1.0,/nfs/site/stod,,false,0,false,22.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,12/17/2012 12:49:45,,2560717,2500.7,2.442,3012608,2942,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,399129,Active,2,31876689,NETAPP,1395003,1362.308,1.33,07/07/2014 10:46:52,1362.308,1.33,flex,70.31,,false,false,47.12,702.0,799778.0,589.64,24.0,778.0,1392983.0,134.67,51.0
