Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
1262578,,1232.986,1.204,true,eda_adm iul_ec_lxset eda_group iul-ec_restore_disk1n eda_data iul_ec_disk001 iul_gen_adm_crash eda_license gen_adm gen_adm_ecgo iul_ec_netbackup iul_ec_LDE_local itools gen_platform eda_tools iul_proj_eda iul-ec_net-test iul-ec_essv_disk003 iul-ec_restore_disk1e iul_ec_disk002 gen_adm_ecdw gen_adm_osgot netbatch ,false,25901300,706231,689.679,0.674,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,enabled,ecvol1,aggr0,,ulnap01b.iul.intel.com,07/07/2014 00:48:53,19,false,07/07/2014 19:11:39,706231,1.172,/nfs/site/stod,,false,0,false,35.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:55:39,,1679872,1640.5,1.602,1976320,1930,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,305345,Active,3,31876689,NETAPP,561527,548.366,0.536,07/07/2014 00:48:53,548.366,0.536,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,22221670,157594,153.9,0.15,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,disabled,root,aggr0,,ulnap01a.iul.intel.com,07/07/2014 02:25:07,0,false,07/07/2014 19:25:43,157594,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:57:32,,157594,153.9,0.15,165888,162,0,0,0,0,0,0,0,0,0,0,0,,5,,0.0,0.0,0.0,0,Active,3,22230964,NETAPP,5925,5.786,0.006,07/07/2014 02:25:07,5.786,0.006,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,22221803,157594,153.9,0.15,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,disabled,root,aggr0,,ulnap01b.iul.intel.com,07/06/2014 20:29:32,0,false,07/07/2014 19:11:39,157594,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:55:39,,157594,153.9,0.15,165888,162,0,0,0,0,0,0,0,0,0,0,0,,5,,0.0,0.0,0.0,0,Active,3,22230964,NETAPP,5287,5.163,0.005,07/06/2014 20:29:32,5.163,0.005,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,1027871,30720,30.0,0.029,1,,4,,0,,,1,false,,false,,iul,false,,disabled,root,aggr1,,ulsfiler01,07/07/2014 07:08:55,1,false,07/07/2014 19:41:10,30720,1.0,/nfs/site/disks,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/31/2010 12:31:50,,30720,30.0,0.029,30720,30,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,3,1037640,NETAPP,2497,2.438,0.002,07/07/2014 07:08:55,2.438,0.002,flex,25.33,,false,true,5.43,16.0,1044.0,136.52,0.0,20.0,3644.0,97.76,3.0
0,,0.0,0.0,true,,true,504881,12288,12.0,0.012,1,,4,,0,,,1,false,,false,,iul,false,,disabled,root,aggr1,,ulsfiler04,07/07/2014 18:55:52,3,false,07/07/2014 19:29:20,12288,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/25/2010 10:55:12,,12288,12.0,0.012,15360,15,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,3,518820,NETAPP,2434,2.377,0.002,07/07/2014 18:55:52,2.377,0.002,flex,21.34,,false,true,6.88,13.0,238.0,10.94,0.0,15.0,2332.0,99.99,2.0
277504,,271.0,0.265,true,iul_disks_otc_0001 iul_disks_mpi_0001 fti_code iul-nfs.mount.disk001 iul_users iul_disks_cst_0001 iul_proj_icl iul_disks_pac_0001 archive_ecdl ,false,30616889,1494630,1459.6,1.425,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,enabled,vol0,aggr0,,ulnap01a.iul.intel.com,07/07/2014 15:32:33,4,false,07/07/2014 19:25:43,1494630,1.018,/nfs/site/stod,,false,0,false,14.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:57:32,,1740800,1700.0,1.66,2048000,2000,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,31734,Active,3,31876689,NETAPP,182501,178.224,0.174,07/07/2014 15:32:33,178.224,0.174,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56320,,55.0,0.054,true,iul_ec_disk001 gen_adm_ecdw Vacation iul_users HR iul_local gen_adm_osgot ,true,31135517,496640,485.0,0.474,1,,4,,0,,,1,false,,false,,iul,false,,disabled,vol0,aggr2,,ulsfiler01,07/07/2014 09:14:49,0,false,07/07/2014 19:41:10,496640,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/31/2010 12:31:50,,552960,540.0,0.527,614400,600,0,0,0,0,0,0,0,0,0,0,0,,10,,0.0,0.0,0.0,0,Active,3,31233361,NETAPP,10717,10.466,0.01,07/07/2014 09:14:49,10.466,0.01,flex,277.08,,false,false,266.43,47.0,4248.0,1380.68,0.0,50.0,43565.0,260.73,2.0
180224,,176.0,0.172,true,iul_sven iul-blueprint iul_intel rr2 ,false,31726328,1600614,1563.1,1.526,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,enabled,vol1,aggr0,,ulnap01a.iul.intel.com,07/07/2014 10:14:22,0,false,07/07/2014 19:25:43,1600614,1.023,/nfs/site/stod,,false,0,false,41.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:57:32,,1740800,1700.0,1.66,2048000,2000,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,39519,Active,3,31876689,NETAPP,55593,54.29,0.053,07/07/2014 10:14:22,54.29,0.053,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307200,,300.0,0.293,true,product_builds iul-ssg_dpd_xdb ,false,31353488,1541529,1505.399,1.47,1,cmsbak002.isw.intel.com,1,,0,ulsbak002-MSDP,,2,false,,false,,iul,false,,enabled,vol1,aggr0,,ulnap01b.iul.intel.com,07/07/2014 13:37:27,2,false,07/07/2014 19:11:39,1541529,1.003,/nfs/site/stod,,false,0,false,34.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/21/2013 13:55:39,,1843200,1800.0,1.758,1843200,1800,1,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,15458,Active,3,31876689,NETAPP,29438,28.748,0.028,07/07/2014 13:37:27,28.748,0.028,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148680,,145.195,0.142,true,EngSupportExch Library Documentation XDB_Debugger Compiler Training QA QuADTransfer ,true,30458253,332316,324.527,0.317,1,,4,,0,,,1,false,,false,,iul,false,,disabled,vol1,aggr1,,ulsfiler01,07/06/2014 21:08:15,2,false,07/07/2014 19:41:10,332316,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,08/31/2010 12:31:50,,480996,469.723,0.459,506312,494,0,0,0,0,0,0,0,0,0,0,0,,5,,0.0,0.0,0.0,0,Active,3,30947538,NETAPP,82779,80.839,0.079,07/06/2014 21:08:15,80.839,0.079,flex,23.97,,false,false,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
