Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,Mounts,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,iul,ulmusers,0,/nfs/iul/proj/debugger,1,/nfs/iul/proj/debugger,0,nschulz
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/ilab2,1,/nfs/iul/disks/ilab2,0,aschaefe
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/ilab2,0,/nfs/iul/disks/ilab2,0,*
0,0,0,0,0,0,0,iul,root,Unlimited,/nfs/iul/proj/eda,1,/nfs/iul/proj/eda,0,root
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/proj/eda,0,/nfs/iul/proj/eda,0,*
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,2,/nfs/iul/disks/iul_ec_disk002,0,usrintel
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,9,/nfs/iul/disks/iul_ec_disk002,0,steved
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,1,/nfs/iul/disks/iul_ec_disk002,0,49115
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,2,/nfs/iul/disks/iul_ec_disk002,0,37610
0,0,0,0,0,0,0,iul,intelall,Unlimited,/nfs/iul/disks/iul_ec_disk002,5,/nfs/iul/disks/iul_ec_disk002,0,ynahmany
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,9,/nfs/iul/disks/iul_ec_disk002,0,dmarkhas
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,1,/nfs/iul/disks/iul_ec_disk002,0,36216
0,0,0,0,0,0,0,iul,intelall,Unlimited,/nfs/iul/disks/iul_ec_disk002,1,/nfs/iul/disks/iul_ec_disk002,0,ksapozhn
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,11,/nfs/iul/disks/iul_ec_disk002,0,yhadar
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,7,/nfs/iul/disks/iul_ec_disk002,0,smatalon
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,3,/nfs/iul/disks/iul_ec_disk002,0,49652
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,2,/nfs/iul/disks/iul_ec_disk002,0,10717961
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,1,/nfs/iul/disks/iul_ec_disk002,0,rnudelma
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,10,/nfs/iul/disks/iul_ec_disk002,0,11076025
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,12,/nfs/iul/disks/iul_ec_disk002,0,arozenfe
0,0,0,0,0,0,0,iul,ulmusers,Unlimited,/nfs/iul/disks/iul_ec_disk002,1,/nfs/iul/disks/iul_ec_disk002,0,anadler1
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,2,/nfs/iul/disks/iul_ec_disk002,0,30
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,3,/nfs/iul/disks/iul_ec_disk002,0,36364
0,0,0,0,0,0,0,iul,,Unlimited,/nfs/iul/disks/iul_ec_disk002,2,/nfs/iul/disks/iul_ec_disk002,0,11232650
