Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,false,7769101,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,root,aggr0,,kanap01a.ka.intel.com,07/07/2014 16:37:56,0,false,07/07/2014 19:07:01,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:55:54,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,6871,6.71,0.007,07/07/2014 16:37:56,6.71,0.007,flex,3.33,,false,true,2.42,467.0,217810.0,5.0,212.0,682.0,1765.0,39.69,1.0
0,,0.0,0.0,true,,false,7768934,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,root,aggr0,,kanap01b.ka.intel.com,07/06/2014 21:06:48,0,false,07/07/2014 19:27:45,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:46:15,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,3968,3.875,0.004,07/06/2014 21:06:48,3.875,0.004,flex,3.33,,false,true,2.43,227.0,217832.0,4.03,212.0,440.0,1196.0,45.38,1.0
2505838,,2447.107,2.39,true,ka-it_lde_disk001 ka_essv_disk001 ka-gen_adm_ec_global ka-itools_disk001 iul_ec_gen_platforms ka_gen_adm_disk002 ka_gen_adm_disk001 ka_disks_iir-ec_local_disk001 ka_ec_netbackup ka-gen-adm-ec_global ka-home-disk001 ka_ec_restore_disk001 ka-isg_klocwork_tools_disk001 ,false,17393486,104338,101.893,0.1,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol0,aggr0,,kanap01a.ka.intel.com,07/07/2014 11:45:33,45,false,07/07/2014 19:07:01,104338,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:55:54,,2610176,2549.0,2.489,3070795,2998,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,1452023,1417.991,1.385,07/07/2014 11:45:33,1417.991,1.385,flex,33.08,,false,false,20.51,1060.0,48546.0,56.46,63.0,1195.0,1193113.0,197.18,72.0
102400,,100.0,0.098,true,ka-isg_ias_ae_disk001 ,false,31874245,1680179,1640.8,1.602,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol0,aggr0,,kanap01b.ka.intel.com,07/07/2014 17:35:43,0,false,07/07/2014 19:27:45,1680179,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:46:15,,1782579,1740.8,1.7,2097152,2048,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,2055,2.007,0.002,07/07/2014 17:35:43,2.007,0.002,flex,4.83,,false,false,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2963956,,2894.488,2.827,true,ias_obs_pkt_disk001 ias_hw_releases_disk001 ka-nfs.mount.disk001 ias_obs_vm_disk001 ka_disks_ias_kp_metadata ka_disks_ka_gen_adm_ecgo ias_estools ,true,256765477,124976,122.047,0.119,1,,4,,0,,,1,false,,false,,ka,false,,,vol1,,,kaefs01a.ka.intel.com,07/06/2014 23:07:20,0,false,07/07/2014 19:57:34,124976,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,01/30/2012 15:03:28,,3088932,3016.535,2.946,3088932,3016,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,5,257949694,EMC,767291,749.308,0.732,07/06/2014 23:07:20,749.308,0.732,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306624,,1276.0,1.246,true,ka-isg_ias_cad_disk001 ka-ias_web_disk001 ka-ias_klocwork_disk001 ka-isg_proj_ias ,false,31117652,375859,367.05,0.358,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol1,aggr0,,kanap01a.ka.intel.com,07/07/2014 19:11:06,2,false,07/07/2014 19:07:01,375859,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:55:54,,1682483,1643.05,1.605,1979392,1933,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,289626,282.838,0.276,07/07/2014 19:11:06,282.838,0.276,flex,614.42,,false,false,6.9,0.0,37948.0,1300.42,0.0,1.0,156.0,188.5,0.0
1048576,,1024.0,1.0,true,ka-isg_ias_organisation_disk001 ,false,31731361,734003,716.8,0.7,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol1,aggr0,,kanap01b.ka.intel.com,07/07/2014 17:53:05,0,false,07/07/2014 19:27:45,734003,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:46:15,,1782579,1740.8,1.7,2097152,2048,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,159160,155.43,0.152,07/07/2014 17:53:05,155.43,0.152,flex,42.1,,false,false,42.99,0.0,84.0,43.67,0.0,0.0,0.0,0.0,0.0
2713600,,2650.0,2.588,true,ka_disks_ias_kp_metadata ias_estools ka-asd_ll_development ka-ias_simulation_disk001 ,true,248678635,375332,366.535,0.358,1,,4,,0,,,1,false,,false,,ka,false,,,vol2,,,kaefs01a.ka.intel.com,07/07/2014 13:54:09,4,false,07/07/2014 19:57:34,375332,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,01/30/2012 15:03:28,,3088932,3016.535,2.946,3088932,3016,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,5,257949694,EMC,1256254,1226.811,1.198,07/07/2014 13:54:09,1226.811,1.198,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048576,,1024.0,1.0,true,ka-isg_ias_kp_disk001 ,false,31875226,629146,614.4,0.6,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol2,aggr0,,kanap01a.ka.intel.com,07/07/2014 10:13:20,0,false,07/07/2014 19:07:01,629146,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:55:54,,1677722,1638.4,1.6,2097153,2048,2,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,5530,5.4,0.005,07/07/2014 10:13:20,5.4,0.005,flex,2.81,,false,false,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3608576,,3524.0,3.441,true,ka_disks_obs_data ka-isg_ias_user_disk001 ,false,30734362,394035,384.8,0.376,1,cmsbak002.isw.intel.com,1,,0,kasbak001-MSDP,,6,false,,false,,ka,false,,disabled,vol2,aggr0,,kanap01b.ka.intel.com,07/07/2014 09:13:22,4,false,07/07/2014 19:27:45,394035,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,01/30/2012 14:46:15,,4002611,3908.8,3.817,5003264,4886,4,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,647734,632.553,0.618,07/07/2014 09:13:22,632.553,0.618,flex,2.97,,false,false,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
