Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,Mounts,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,0,/nfs/ka/disks/ec_global,0,*
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,6,/nfs/ka/disks/ec_global,0,21594
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,4,/nfs/ka/disks/ec_global,0,24067
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,1,/nfs/ka/disks/ec_global,0,51436
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ec_global,4,/nfs/ka/disks/ec_global,0,ryair
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,14,/nfs/ka/disks/ec_global,0,10642322
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,2,/nfs/ka/disks/ec_global,0,10081521
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,7,/nfs/ka/disks/ec_global,0,39030
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ec_global,1,/nfs/ka/disks/ec_global,0,10717961
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ec_global,8,/nfs/ka/disks/ec_global,0,svdeshab
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/build_ka_data,1,/nfs/ka/disks/build_ka_data,0,build_ka
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/build_ka_data,0,/nfs/ka/disks/build_ka_data,0,*
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/iir-ec_local_disk001,0,/nfs/ka/disks/iir-ec_local_disk001,0,*
0,0,0,0,0,0,0,ka,root,Unlimited,/nfs/ka/gen/adm/ec_global,1,/nfs/ka/gen/adm/ec_global,0,root
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/gen/adm/ec_global,0,/nfs/ka/gen/adm/ec_global,0,*
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ias_cad_disk001,1,/nfs/ka/disks/ias_cad_disk001,0,hschroed
0,0,0,0,0,0,0,ka,,Unlimited,/nfs/ka/disks/ias_cad_disk001,0,/nfs/ka/disks/ias_cad_disk001,0,*
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ias_cad_disk001,1,/nfs/ka/disks/ias_cad_disk001,0,ralfseng
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ias_cad_disk001,2,/nfs/ka/disks/ias_cad_disk001,0,mferguso
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ias_cad_disk001,2,/nfs/ka/disks/ias_cad_disk001,0,bddoyle
0,0,0,0,0,0,0,ka,intelall,Unlimited,/nfs/ka/disks/ias_cad_disk001,1,/nfs/ka/disks/ias_cad_disk001,0,fmcesari
