AdminPermissions,AllocatorPermissions,AllowedPathPrefix,AllowedProperties,ApproversOnCreate,ApproversOnDataDelete,ApproversOnDelete,ApproversOnExtend,ApproversOnResize,AreasNum,AreasPrivateSize,AreasSharedSize,AreasSize,AreasSizeGB,AreasSizeTB,AreasUsage,AreasUsageGB,AreasUsageTB,AvailableSize,AvailableSizeGB,AvailableSizePerSharedPool,AvailableSizePerSharedPoolGB,AvailableSizePerSharedPoolTB,AvailableSizeTB,BusinessGroup,CachePermissions,Cell,DefaultGrace,DefaultPathPrefix,DefaultProperties,DiskSelectionStrategy,FSGroup,FSPermissions,FileSystemGroup,FileSystemPermissions,GlobalPathPrefix,LocalPathPrefix,MaxActiveAreas,MaxActiveSize,MaxDisabledPeriod,MaxDuration,MaxGrace,MaxSize,MemberResources,Permissions,Policies,Project,QSlot,ReplicatorPermissions,RequiredProperties,SharedPools,StodFSPermissions,TotalPrivateSize,TotalSharedSize,TotalSize,TotalSizeGB,TotalSizeTB,Type,User,ViewPermissions
,,,,,,,,,1,35840,0,35840,35.0,0.034,0,0.0,0.0,366054,357.475,0,0.0,0.0,0.349,ADG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01b.ir.intel.com:vol1 ,,,nexus_root,,,,,,2619904,0,2619904,2558.5,2.499,User,others,
,,,,,,,,,1,35840,0,35840,35.0,0.034,32694,31.928,0.031,366054,357.475,0,0.0,0.0,0.349,ADG,,,unlimited,,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01b.ir.intel.com:vol1 ,,,nexus_root,,,,,,2619904,0,2619904,2558.5,2.499,Project,,
gquinn mjphelps dleahy1,,,,,,,,,1,35840,0,35840,35.0,0.034,32694,31.928,0.031,0,0.0,0,0.0,0.0,0.0,ADG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,rdoceall,,,,,,,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,593920,0,593920,580.0,0.566,0,0.0,0.0,3197828,3122.879,0,0.0,0.0,3.05,AIG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,,,mnr,,,,,,6495108,0,6495108,6342.879,6.194,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,3197828,3122.879,0,0.0,0.0,3.05,AIG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,,,mnr,,,,,,6495108,0,6495108,6342.879,6.194,User,psobon,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,2,593920,0,593920,580.0,0.566,532856,520.367,0.508,3197828,3122.879,0,0.0,0.0,3.05,AIG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,2048000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,psobon kperycz,,mnr,,,,,,6495108,0,6495108,6342.879,6.194,Project,,
amaczuga dleahy1,,,,,,,,,2,593920,0,593920,580.0,0.566,532856,520.367,0.508,0,0.0,0,0.0,0.0,0.0,AIG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,,,,,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,153600,0,153600,150.0,0.146,0,0.0,0.0,4413916,4310.465,0,0.0,0.0,4.209,APSS,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,CAS_Linux,,,,,,17090305,0,17090305,16689.751,16.299,User,others,
,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,153600,0,153600,150.0,0.146,106309,103.817,0.101,4413916,4310.465,0,0.0,0.0,4.209,APSS,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,CAS_Linux,,,,,,17090305,0,17090305,16689.751,16.299,Project,,
,,,,,,,,,2,112640,0,112640,110.0,0.107,0,0.0,0.0,4413916,4310.465,0,0.0,0.0,4.209,APSS,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,FalconValley,,,,,,17090305,0,17090305,16689.751,16.299,User,others,
,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,2,112640,0,112640,110.0,0.107,92040,89.883,0.088,4413916,4310.465,0,0.0,0.0,4.209,APSS,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gknap01a:* ,,,FalconValley,,,,,,17090305,0,17090305,16689.751,16.299,Project,,
wchilins jdkarpin,,,,,,,,,4,266240,0,266240,260.0,0.254,198349,193.7,0.189,0,0.0,0,0.0,0.0,0.0,APSS,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,jwojcik arejment gkblditp,,,,,,,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,1,102400,0,102400,100.0,0.098,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ASD,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,KendrickPeak,,,,,,0,0,0,0.0,0.0,User,others,
,,,,,shauff1,,,,1,102400,0,102400,100.0,0.098,27799,27.147,0.027,0,0.0,0,0.0,0.0,0.0,ASD,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,KendrickPeak,,,,,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,4,4864000,0,4864000,4750.0,4.639,0,0.0,0.0,1115889,1089.735,0,0.0,0.0,1.064,ASD,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol2 kanap01b.ka.intel.com:vol2 ,,,ivi,,,,,,8769265,0,8769265,8563.735,8.363,User,others,
,,/nfs/ka/disks,,,,,,,4,4864000,0,4864000,4750.0,4.639,1285480,1255.352,1.226,1115889,1089.735,0,0.0,0.0,1.064,ASD,,,unlimited,/nfs/ka/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,3072000,kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol2 kanap01b.ka.intel.com:vol2 ,aschaefe jquast,,ivi,,,,,,8769265,0,8769265,8563.735,8.363,Project,,
,,,,,,,,,4,2252800,0,2252800,2200.0,2.148,0,0.0,0.0,1765161,1723.79,0,0.0,0.0,1.683,ASD,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,kanap01a.ka.intel.com:vol1 kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol3 ,,,kendrick_peak,,,,,,6449137,0,6449137,6297.985,6.15,User,others,
aschaefe dleahy1,,/nfs/ka/disks,,,,,,,4,2252800,0,2252800,2200.0,2.148,275044,268.598,0.262,1765161,1723.79,0,0.0,0.0,1.683,ASD,,,unlimited,/nfs/ka/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,2048000,kanap01a.ka.intel.com:vol1 kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol3 ,jquast drogers,,kendrick_peak,,,,,,6449137,0,6449137,6297.985,6.15,Project,,
aschaefe dleahy1,,,,,,,,,9,7219200,0,7219200,7050.0,6.885,1588323,1551.097,1.515,0,0.0,0,0.0,0.0,0.0,ASD,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,,,,,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,22528,0,22528,22.0,0.021,0,0.0,0.0,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol4 ,,,AudioDSP,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
iszuca jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,22528,0,22528,22.0,0.021,2508,2.449,0.002,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gkefs01a.igk.intel.com:vol4 ,mkotarsk,,AudioDSP,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,2,276480,0,276480,270.0,0.264,0,0.0,0.0,603817,589.665,0,0.0,0.0,0.576,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 gkefs01a.igk.intel.com:vol4 ,,,CCG-releases,,,,,,6495109,0,6495109,6342.88,6.194,User,others,
iszuca jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,276480,0,276480,270.0,0.264,61095,59.663,0.058,603817,589.665,0,0.0,0.0,0.576,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 gkefs01a.igk.intel.com:vol4 ,rkrzyszt,,CCG-releases,,,,,,6495109,0,6495109,6342.88,6.194,Project,,
,,,,,,,,,2,30720,0,30720,30.0,0.029,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol7 ,,,Manageability,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
,,/nfs/igk/disks,,,,,,,2,30720,0,30720,30.0,0.029,4427,4.323,0.004,21943,21.429,0,0.0,0.0,0.021,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,20480,gkefs01a.igk.intel.com:vol7 ,mlzakida,,Manageability,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,NodeManager,,,,,,0,0,0,0.0,0.0,User,others,
,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,NodeManager,,,,,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,10240,0,10240,10.0,0.01,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol7 ,,,Storage,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
,,/nfs/igk/disks,,,,,,,1,10240,0,10240,10.0,0.01,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,10240,gkefs01a.igk.intel.com:vol7 ,mswirydc,,Storage,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
