Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,mlp,root,Unlimited,1,,0,root
0,0,0,0,0,0,0,mlp,,Unlimited,4,,0,27193
0,0,0,0,0,0,0,mlp,,Unlimited,1,,0,pcuser
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,root,Unlimited,3,,0,root
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,dstuttar
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,thomass
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,abernabe
0,0,0,0,0,0,0,mlp,intelall,Unlimited,3,,0,landerje
0,0,0,0,0,0,0,mlp,intelall,Unlimited,2,,0,garysmit
0,0,0,0,0,0,0,mlp,intelall,Unlimited,2,,0,rstuckey
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,trenouf
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,glancast
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,mdejaegh
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,colindav
0,0,0,0,0,0,0,mlp,,Unlimited,1,,0,61922
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,intelall,Unlimited,38,,0,kbalinsk
0,0,0,0,0,0,0,mlp,intelall,Unlimited,42,,0,jsheppar
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,godrisco
0,0,0,0,0,0,0,mlp,intelall,Unlimited,38,,0,dcoulthu
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,robsonjo
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,adebatti
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,jewins
0,0,0,0,0,0,0,mlp,,Unlimited,37,,0,11484514
0,0,0,0,0,0,0,mlp,intelall,Unlimited,38,,0,davebald
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,abernabe
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,dowjonat
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,postrin
0,0,0,0,0,0,0,mlp,intelall,Unlimited,41,,0,tgore
0,0,0,0,0,0,0,mlp,intelall,Unlimited,38,,0,jbarstow
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,omateolo
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,pcartwri
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,kgardine
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,omuravey
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,millerge
