Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,false,20900002,13107,12.8,0.012,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,root,aggr0,,ncnap01a.nc.intel.com,07/07/2014 10:36:30,0,false,07/07/2014 19:37:23,13107,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:13,,13107,12.8,0.012,16384,16,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,4,20907162,NETAPP,1055,1.03,0.001,07/07/2014 10:36:30,1.03,0.001,flex,19.81,,false,true,4.48,8.0,649.0,236.82,0.0,10.0,1626.0,57.22,1.0
0,,0.0,0.0,true,,false,20900009,13107,12.8,0.012,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,root,aggr0,,ncnap01b.nc.intel.com,07/07/2014 08:14:46,0,false,07/07/2014 19:06:42,13107,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:52,,13107,12.8,0.012,16384,16,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,4,20907162,NETAPP,1046,1.021,0.001,07/07/2014 08:14:46,1.021,0.001,flex,12.58,,false,true,4.09,7.0,237.0,9.42,0.0,8.0,1249.0,65.79,1.0
1668096,,1629.0,1.591,true,nc-gen-adm-ec_global nc-umg_jellybean nc_ec_restore_disk001 nc_gen_platforms nc_disks_lde nc-umg-disk001 ,false,16467328,201523,196.8,0.192,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol0,aggr0,,ncnap01a.nc.intel.com,07/07/2014 16:49:44,48,false,07/07/2014 19:37:23,201523,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:13,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,1386824,1354.32,1.323,07/07/2014 16:49:44,1354.32,1.323,flex,5.41,,false,false,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869360,,1825.547,1.783,true,nc_gen_adm_linktree nc_gen_adm_disk001 itools gen_adm_ecgo nc_ec_netbackup nc_disks_iir-ec_local_disk001 nc-home_disk01 ,false,25816984,259,0.253,0.0,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol0,aggr0,,ncnap01b.nc.intel.com,07/07/2014 03:13:13,19,false,07/07/2014 19:06:42,259,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:52,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,330629,322.88,0.315,07/07/2014 03:13:13,322.88,0.315,flex,190.09,,false,false,98.95,107.0,33589.0,887.12,1.0,132.0,1281280.0,562.46,24.0
1332224,,1301.0,1.271,true,nc-umg_repo_disk001 nc-umg_disk002 nc-umg_medfield ,false,31453258,537395,524.8,0.512,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol1,aggr0,,ncnap01a.nc.intel.com,07/07/2014 03:52:07,1,false,07/07/2014 19:37:23,537395,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:13,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,49964,48.793,0.048,07/07/2014 03:52:07,48.793,0.048,flex,5.36,,false,false,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,false,31876576,1869619,1825.8,1.783,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol1,aggr0,,ncnap01b.nc.intel.com,07/07/2014 00:43:26,0,false,07/07/2014 19:06:42,1869619,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:52,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,19,0.019,0.0,07/07/2014 00:43:26,0.019,0.0,flex,4.75,,false,false,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,true,NC-UMG_pnparch ,false,31833239,845619,825.8,0.806,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol2,aggr0,,ncnap01a.nc.intel.com,07/07/2014 18:55:19,0,false,07/07/2014 19:37:23,845619,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:13,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,777955,759.722,0.742,07/07/2014 18:55:19,759.722,0.742,flex,4.45,,false,false,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,false,31876576,1869619,1825.8,1.783,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol2,aggr0,,ncnap01b.nc.intel.com,07/07/2014 16:34:06,0,false,07/07/2014 19:06:42,1869619,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:52,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,19,0.019,0.0,07/07/2014 16:34:06,0.019,0.0,flex,4.78,,false,false,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332224,,1301.0,1.271,true,nc_proj_baytrail nc_disks_baytrail nc_disks_psi_cwstools ,false,31649891,537395,524.8,0.512,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol3,aggr0,,ncnap01a.nc.intel.com,07/07/2014 17:46:34,1,false,07/07/2014 19:37:23,537395,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:13,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,48734,47.592,0.046,07/07/2014 17:46:34,47.592,0.046,flex,4.75,,false,false,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,false,31876576,1869619,1825.8,1.783,1,cmsbak002.isw.intel.com,1,,0,ncsbak001-MSDP,,4,false,,false,,nc,false,,disabled,vol3,aggr0,,ncnap01b.nc.intel.com,07/07/2014 07:56:15,0,false,07/07/2014 19:06:42,1869619,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/27/2011 13:41:52,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,19,0.019,0.0,07/07/2014 07:56:15,0.019,0.0,flex,4.18,,false,false,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
