Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
784384,,766.0,0.748,true,acd.lbg.76 ,false,0,4096,4.0,0.004,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,ECG,false,,sie,true,,,pdxfs225b_pdx_vol1,aggr0,,sinap01a.ir.intel.com,07/07/2014 06:30:05,0,true,07/07/2014 19:31:36,4096,10.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,lbg,,0,03/19/2014 08:52:34,,78848,77.0,0.075,78848,77,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,3138,3.064,0.003,07/07/2014 06:30:05,3.064,0.003,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048000,,2000.0,1.953,true,acd.lbg.68 ,false,0,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,ECG,false,,sie,true,,,pdxfs255b_pdx_vol3,aggr0,,sinap01b.ir.intel.com,07/07/2014 00:11:10,0,true,07/07/2014 19:29:45,204800,10.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,lbg,,0,05/11/2014 10:06:39,,225280,220.0,0.215,225280,220,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,12,0.012,0.0,07/07/2014 00:11:10,0.012,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,true,acd.lbg.11 ,false,0,0,0.0,0.0,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,ECG,false,,sie,true,,,pdxfs268a_pdx_vol6,aggr0,,sinap01a.ir.intel.com,07/07/2014 00:21:09,0,true,07/07/2014 19:31:36,0,10.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,lbg,,0,01/26/2014 17:32:48,,51200,50.0,0.049,51200,50,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,25,0.024,0.0,07/07/2014 00:21:09,0.024,0.0,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177600,,1150.0,1.123,true,acd.lbg.10 ,false,0,51200,50.0,0.049,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,PSG,false,,sie,true,,,pdxfs268a_pdx_vol7,aggr0,,sinap01b.ir.intel.com,07/07/2014 17:55:25,0,true,07/07/2014 19:29:45,51200,10.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,lbg,,0,01/13/2014 15:29:49,,122880,120.0,0.117,122880,120,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,0,FLEXCACHE,86902,84.865,0.083,07/07/2014 17:55:25,84.865,0.083,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,7775452,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,,false,,sie,false,,disabled,root,aggr0,,sinap01a.ir.intel.com,07/07/2014 09:21:57,0,false,07/07/2014 19:31:36,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/26/2011 15:47:20,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,8185,7.993,0.008,07/07/2014 09:21:57,7.993,0.008,flex,4.23,,false,true,3.18,142.0,1085.0,67.75,0.0,145.0,3126.0,44.76,2.0
0,,0.0,0.0,true,,true,7775592,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,,false,,sie,false,,disabled,root,aggr0,,sinap01b.ir.intel.com,07/07/2014 19:05:39,0,false,07/07/2014 19:29:45,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/26/2011 15:49:18,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,2,7782396,NETAPP,7497,7.321,0.007,07/07/2014 19:05:39,7.321,0.007,flex,7.64,,false,true,5.76,89.0,425.0,6.46,0.0,94.0,3682.0,43.15,4.0
1443850,,1410.01,1.377,true,SIE-CID_cavecreek_central_disk001 sie-westport SIE-DEG_sieng_sanj_disk18 EC_SIE_generic_disk001 SIE-ECG_sieng_southill_disk02 ,true,27783740,873155,852.69,0.833,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,,false,,sie,false,,disabled,vol0,aggr0,,sinap01a.ir.intel.com,07/07/2014 16:13:21,13,false,07/07/2014 19:31:36,873155,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/23/2012 06:43:02,,2317005,2262.7,2.21,2725888,2662,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,950692,928.41,0.907,07/07/2014 16:13:21,928.41,0.907,flex,5.18,,false,false,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2664498,,2602.049,2.541,true,dfx_soc SIE-CID_coletocreek_disk02 SIE-ISG_avscan_disk001 SIE-CID_coletocreek_disk06 sie-cidgit_disk001 SIE-CID_coletocreek_disk04 SIE-CID_coletocreek_disk07 SIE-CID_coletocreek_disk01 SIE-CID_coletocreek_disk03 SIE-CID_coletocreek_disk08 SIE-CID_proj_coletocreek SIE-CID_coletocreek_disk05 ,true,17642007,9371,9.151,0.009,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,,false,,sie,false,,disabled,vol0,aggr0,,sinap01b.ir.intel.com,07/06/2014 23:07:31,45,false,07/07/2014 19:29:45,9371,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/26/2011 15:49:18,,2673869,2611.2,2.55,3145728,3072,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,2332964,2278.285,2.225,07/06/2014 23:07:31,2278.285,2.225,flex,597.78,,false,false,581.49,1458.0,3743260.0,2589.41,102.0,2013.0,22743443.0,201.8,453.0
1382400,,1350.0,1.318,true,sie_isg_wgc_disk001 sie-ec_repos_disk001 sie_disks_sie_ec_lde_disk001 sie_disks_vp_scratchspace ,true,256998670,1706532,1666.535,1.627,1,,4,,0,,,1,false,,false,,sie,false,,,vol1,,,siefs01a.ir.intel.com,07/07/2014 03:27:02,0,false,07/07/2014 19:02:48,1706532,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,12/15/2011 18:11:59,,3088932,3016.535,2.946,3088932,3016,2,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,5,257949694,EMC,209452,204.543,0.2,07/07/2014 03:27:02,204.543,0.2,,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558004,,1521.488,1.486,true,SIE-DEG_sieng_ccreek_disk19 SIE-DEG_sieng_ccreek_disk20 SIE-DEG_sieng_sanj_disk19 sie-ec_ecgo sie_disks_SIE-DEG_sweng_jenkins_build SIE-FES_ec_gen_adm_disk003 sie_gen_adm_crash ,true,27409378,402137,392.712,0.384,1,cmsbak002.isw.intel.com,1,,0,sisbak002-MSDP,,8,false,,false,,sie,false,,disabled,vol1,aggr0,,sinap01a.ir.intel.com,07/07/2014 07:58:23,14,false,07/07/2014 19:31:36,402137,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/23/2012 06:43:02,,1960141,1914.2,1.869,2306048,2252,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,589759,575.937,0.562,07/07/2014 07:58:23,575.937,0.562,flex,1655.76,,false,false,27.57,7.0,367616.0,3792.25,5.0,13.0,25754.0,168.19,0.0
