Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,true,7769642,230400,225.0,0.22,1,,4,,0,,,1,false,,false,,tl,false,,disabled,root,aggr0,,tlnap02a.tl.intel.com,07/07/2014 10:30:22,0,false,07/07/2014 19:55:31,230400,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/30/2012 09:16:16,,230400,225.0,0.22,256000,250,0,0,0,0,0,0,0,0,0,0,0,,10,,0.0,0.0,0.0,0,Active,4,7782396,NETAPP,5537,5.407,0.005,07/07/2014 10:30:22,5.407,0.005,flex,39.94,,false,true,35.91,21.0,794.0,162.71,0.0,23.0,1139.0,61.79,1.0
0,,0.0,0.0,true,,true,7769471,204800,200.0,0.195,1,,4,,0,,,1,false,,false,,tl,false,,disabled,root,aggr0,,tlnap02b.tl.intel.com,07/07/2014 18:01:55,0,false,07/07/2014 19:45:21,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid4,0,05/30/2012 10:03:25,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,4,7782396,NETAPP,3249,3.173,0.003,07/07/2014 18:01:55,3.173,0.003,flex,6.97,,false,true,5.42,14.0,523.0,4.9,0.0,15.0,569.0,49.97,0.0
0,,0.0,0.0,true,,true,7769607,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,disabled,root,aggr0,,tlnap03a.tl.intel.com,07/07/2014 17:30:46,0,false,07/07/2014 19:08:44,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:57,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,3,7782396,NETAPP,4728,4.617,0.005,07/07/2014 17:30:46,4.617,0.005,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,7769435,204800,200.0,0.195,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,disabled,root,aggr0,,tlnap03b.tl.intel.com,07/07/2014 09:26:16,0,false,07/07/2014 19:35:44,204800,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:54,,204800,200.0,0.195,256000,250,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,3,7782396,NETAPP,4421,4.317,0.004,07/07/2014 09:26:16,4.317,0.004,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27032676,,26399.098,25.78,true,tl-umg_buildbot_storage-disk001 tl-umg_buildbot_android_linktree ,true,26689966,924,0.902,0.001,1,,4,,0,,,1,false,,false,,tl,false,,disabled,vol0,aggr0,,tlnap02a.tl.intel.com,07/07/2014 10:48:14,43,false,07/07/2014 19:55:31,924,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,03/29/2012 12:16:16,,27033600,26400.0,25.781,27033600,26400,25,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,4,46670612,NETAPP,20125855,19654.155,19.194,07/07/2014 10:48:14,19654.155,19.194,flex,3568.62,,false,false,4077.45,196.0,747429.0,7602.67,11.0,502.0,18587620.0,3070.87,293.0
2130720,,2080.781,2.032,true,tl_gen_adm_confdb tl_gen_adm_start linuxset tl_ec_essv_disk002 gen_platforms tl_gen_adm_ssh tl_euec_netbackup tl-local tl-nfs.mount.disk001 tl-umg_phonecrash-disk002 tl-backup_disk001 tl_gen_adm_disk001 gen_itec tl_gen_adm_disk002 gen_adm tl_gen_adm_ec_local ,true,31588187,1478829,1444.169,1.41,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,enabled,vol0,aggr0,,tlnap03a.tl.intel.com,07/06/2014 21:37:55,1,false,07/07/2014 19:08:44,1478829,1.0,/nfs/site/stod,,false,0,false,10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:57,,3609549,3524.95,3.442,4246528,4147,4,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,82943,Active,3,31876689,NETAPP,731404,714.262,0.698,07/06/2014 21:37:55,714.262,0.698,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768000,,750.0,0.732,true,tl-umg_proxmox-disk001 ,true,31876549,2841549,2774.95,2.71,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,enabled,vol0,aggr0,,tlnap03b.tl.intel.com,07/07/2014 07:54:53,0,false,07/07/2014 19:35:44,2841549,1.0,/nfs/site/stod,,false,0,false,63.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:54,,3609549,3524.95,3.442,4246528,4147,4,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,290558,Active,3,31876689,NETAPP,169350,165.381,0.162,07/07/2014 07:54:53,165.381,0.162,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2798000,,2732.422,2.668,true,tl-umg_platform_vendors-disk001 tl-umg_repo-data-disk001 tl-umg_platform_releases-disk001 tl_disks_tl-umg_acswr-disk001 tl-umg_buildbot-disk001 ,true,28182535,811549,792.528,0.774,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,enabled,vol1,aggr0,,tlnap03a.tl.intel.com,07/07/2014 17:34:36,12,false,07/07/2014 19:08:44,811549,1.0,/nfs/site/stod,,false,0,false,16.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:57,,3609549,3524.95,3.442,4246528,4147,4,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,230581,Active,3,31876689,NETAPP,1180207,1152.546,1.126,07/07/2014 17:34:36,1152.546,1.126,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3176448,,3102.0,3.029,true,tl_disks_tl_ec_virtual_disk001 ,true,31876523,433101,422.95,0.413,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,enabled,vol1,aggr0,,tlnap03b.tl.intel.com,07/07/2014 07:43:48,0,false,07/07/2014 19:35:44,433101,1.0,/nfs/site/stod,,false,0,false,38.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:54,,3609549,3524.95,3.442,4246528,4147,4,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,1108622,Active,3,31876689,NETAPP,1746844,1705.902,1.666,07/07/2014 07:43:48,1705.902,1.666,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120128,,3047.0,2.976,true,tl_ec_restore_disk001 tl_gen_adm_crash tl_gen_adm_ec_global tl-umg_phonecrash-disk001 ,true,18230676,489421,477.95,0.467,1,cmsbak002.isw.intel.com,1,,0,tlsbak002-MSDP,,3,false,,false,,tl,false,,enabled,vol2,aggr0,,tlnap03a.tl.intel.com,07/07/2014 11:17:53,43,false,07/07/2014 19:08:44,489421,1.0,/nfs/site/stod,,false,0,false,9.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/10/2013 17:21:58,,3609549,3524.95,3.442,4246528,4147,4,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,256655,Active,3,31876689,NETAPP,2527216,2467.984,2.41,07/07/2014 11:17:53,2467.984,2.41,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
