Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,Mounts,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/nfs.mount.disk001,6,/nfs/tl/disks/nfs.mount.disk001,0,sadm
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/nfs.mount.disk001,0,/nfs/tl/disks/nfs.mount.disk001,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/gen/adm /nfs/tl/gen/.adm,0,/nfs/tl/gen/adm,0,*
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl-umg_proxmox-disk001,1,/nfs/tl/disks/tl-umg_proxmox-disk001,0,buildbot
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_proxmox-disk001,0,/nfs/tl/disks/tl-umg_proxmox-disk001,0,*
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl_ec_essv_disk002,1,/nfs/tl/disks/tl_ec_essv_disk002,0,jdkarpin
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_ec_essv_disk002,0,/nfs/tl/disks/tl_ec_essv_disk002,0,*
0,0,0,0,0,0,0,tl,root,Unlimited,/nfs/tl/disks/tl_gen_adm_crash,1,/nfs/tl/disks/tl_gen_adm_crash,0,root
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_crash,0,/nfs/tl/disks/tl_gen_adm_crash,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_platform_releases-disk001,3,/nfs/tl/disks/tl-umg_platform_releases-disk001,0,15391
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_platform_releases-disk001,0,/nfs/tl/disks/tl-umg_platform_releases-disk001,0,*
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,4,/nfs/tl/disks/tl_gen_adm_ec_global,0,ryair
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,6,/nfs/tl/disks/tl_gen_adm_ec_global,0,21594
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,4,/nfs/tl/disks/tl_gen_adm_ec_global,0,24067
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,2,/nfs/tl/disks/tl_gen_adm_ec_global,0,10081521
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,1,/nfs/tl/disks/tl_gen_adm_ec_global,0,51436
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,7,/nfs/tl/disks/tl_gen_adm_ec_global,0,39030
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,14,/nfs/tl/disks/tl_gen_adm_ec_global,0,mwhitne1
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,1,/nfs/tl/disks/tl_gen_adm_ec_global,0,10717961
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,8,/nfs/tl/disks/tl_gen_adm_ec_global,0,svdeshab
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_gen_adm_ec_global,0,/nfs/tl/disks/tl_gen_adm_ec_global,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_acswr-disk001,0,/nfs/tl/disks/tl-umg_acswr-disk001,0,*
0,0,0,0,0,0,0,tl,root,Unlimited,/nfs/tl/restore/disk1n,2,/nfs/tl/restore/disk1n,0,root
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/restore/disk1n,0,/nfs/tl/restore/disk1n,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_repo-data-disk001,0,/nfs/tl/disks/tl-umg_repo-data-disk001,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_buildbot-disk001,0,/nfs/tl/disks/tl-umg_buildbot-disk001,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_platform_vendors-disk001,0,/nfs/tl/disks/tl-umg_platform_vendors-disk001,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_backup,21,/nfs/tl/disks/tl_backup,0,91
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl_backup,0,/nfs/tl/disks/tl_backup,0,*
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/tl_backup,2,/nfs/tl/disks/tl_backup,0,bvenzalx
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_phonecrash-disk002,0,/nfs/tl/disks/tl-umg_phonecrash-disk002,0,*
0,0,0,0,0,0,0,tl,tools,Unlimited,/nfs/tl/disks/tl-umg_phonecrash-disk001,4,/nfs/tl/disks/tl-umg_phonecrash-disk001,0,tools_ad
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/tl-umg_phonecrash-disk001,0,/nfs/tl/disks/tl-umg_phonecrash-disk001,0,*
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/disks/lde_local,0,/nfs/tl/disks/lde_local,0,*
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/disks/lde_local,1,/nfs/tl/disks/lde_local,0,tgourdix
0,0,0,0,0,0,0,tl,x_ray,Unlimited,/nfs/tl/itools /nfs/tl/.itools /nfs/tl/dsm_mount_check,1,/nfs/tl/itools,0,washmgr
0,0,0,0,0,0,0,tl,,Unlimited,/nfs/tl/itools /nfs/tl/.itools /nfs/tl/dsm_mount_check,0,/nfs/tl/itools,0,*
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,25,/nfs/tl/home,0,nsolanoh
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,11,/nfs/tl/home,0,jaltamir
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,9,/nfs/tl/home,0,anadler1
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,2,/nfs/tl/home,0,ncsaecha
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,12,/nfs/tl/home,0,ggraff
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,16,/nfs/tl/home,0,srosenth
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,28,/nfs/tl/home,0,jvaquero
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,11,/nfs/tl/home,0,kmichae1
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,10,/nfs/tl/home,0,mcg
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,45,/nfs/tl/home,0,ktang7
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,13,/nfs/tl/home,0,alinalev
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,gbourree
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,dpjohns1
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,dlmorgan
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,bsutanto
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,akoski1
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,clittle
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,alin7
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,avallaur
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,7,/nfs/tl/home,0,dliebson
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,4,/nfs/tl/home,0,disco
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,aferna5
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,dglim
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,gmonroy
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,ctang13
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,abinazmi
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,amurashk
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,eechiety
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,gbauer3
0,0,0,0,0,0,0,tl,x_ray,5120,/nfs/tl/home,1,/nfs/tl/home,0,glgeanno
