Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,false,20900000,13107,12.8,0.012,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,root,aggr0,,tmnap01a.tm.intel.com,07/07/2014 02:55:47,0,false,07/07/2014 19:41:18,13107,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/09/2011 14:00:24,,13107,12.8,0.012,16384,16,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,4,20907162,NETAPP,1560,1.523,0.001,07/07/2014 02:55:47,1.523,0.001,flex,26.85,,false,true,10.67,10.0,696.0,518.66,0.0,11.0,1726.0,56.59,1.0
0,,0.0,0.0,true,,false,20900006,13107,12.8,0.012,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,root,aggr0,,tmnap01b.tm.intel.com,07/07/2014 13:21:26,0,false,07/07/2014 19:36:21,13107,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/04/2011 16:01:57,,13107,12.8,0.012,16384,16,0,0,0,0,0,0,0,0,0,0,0,,20,,0.0,0.0,0.0,0,Active,4,20907162,NETAPP,1292,1.262,0.001,07/07/2014 13:21:26,1.262,0.001,flex,13.24,,false,true,5.6,15.0,472.0,810.07,0.0,16.0,1471.0,47.32,1.0
1267338,,1237.635,1.209,true,TM-itools_disk001 tm-nfs.mount.disk001 tm-gen-adm-ec_global TM-proj_com_disk001 tm_gen_adm_disk001 TM-production_sw_disk002 TM-eda_license TM-clovertrail tm_ec_netbackup TM-IT_gen_adm_lde TM-home_disk001 TM-eda_tools TM-proj_com TM-eda_group TM-eda_adm TM-eda_data_com ,false,27112682,602281,588.165,0.574,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol0,aggr0,,tmnap01a.tm.intel.com,07/07/2014 01:05:22,15,false,07/07/2014 19:41:18,602281,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/09/2011 14:00:24,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,407531,397.979,0.389,07/07/2014 01:05:22,397.979,0.389,flex,26.53,,false,false,27.3,6.0,67.0,10.35,0.0,6.0,3.0,67.0,0.0
2073600,,2025.0,1.978,true,tm_ec_restore_disk001 TM-camera_algor_disk001 ,false,31526759,64973,63.45,0.062,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol0,aggr0,,tmnap01b.tm.intel.com,07/07/2014 15:57:23,1,false,07/07/2014 19:36:21,64973,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/04/2011 16:01:57,,2138573,2088.45,2.04,2515968,2457,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,1077378,1052.127,1.027,07/07/2014 15:57:23,1052.127,1.027,flex,46.33,,false,false,45.19,0.0,148.0,46.33,0.0,0.0,445.0,54.77,0.0
1868810,,1825.01,1.782,true,tm_disks_iir-ec_local_disk001 TM-security_tampere_disk001 tm-mcd_audiolab tm_proj_platarch tm_disks_labbckup ppdswfin TM-psi_sttp_disk001 TM-production_sw_disk001 ,false,31685786,809,0.79,0.001,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol1,aggr0,,tmnap01a.tm.intel.com,07/06/2014 23:24:40,1,false,07/07/2014 19:41:18,809,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/09/2011 14:00:24,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,315497,308.103,0.301,07/06/2014 23:24:40,308.103,0.301,flex,817.94,,false,false,756.34,1.0,77.0,5024.42,0.0,1.0,0.0,0.0,0.0
1024000,,1000.0,0.977,true,TM-MCG_sys_eng_disk001 ,false,31873787,856006,835.943,0.816,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol1,aggr0,,tmnap01b.tm.intel.com,07/07/2014 03:54:06,0,false,07/07/2014 19:36:21,856006,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/04/2011 16:01:57,,1880006,1835.943,1.793,2211772,2159,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,15483,15.12,0.015,07/07/2014 03:54:06,15.12,0.015,flex,4.2,,false,false,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228800,,1200.0,1.172,true,TM-pad_disk001 ,false,31582906,640819,625.8,0.611,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol2,aggr0,,tmnap01a.tm.intel.com,07/07/2014 12:45:09,1,false,07/07/2014 19:41:18,640819,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/09/2011 14:00:24,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,237566,231.998,0.227,07/07/2014 12:45:09,231.998,0.227,flex,131.6,,false,false,89.6,0.0,2272.0,158.41,1.0,1.0,68.0,134.0,0.0
0,,0.0,0.0,true,,false,31876576,1880006,1835.943,1.793,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol2,aggr0,,tmnap01b.tm.intel.com,07/06/2014 22:46:16,0,false,07/07/2014 19:36:21,1880006,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/04/2011 16:01:57,,1880006,1835.943,1.793,2211772,2159,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,19,0.019,0.0,07/06/2014 22:46:16,0.019,0.0,flex,74.72,,false,false,74.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102400,,100.0,0.098,true,TM-csdebug_disk001 ,false,31873724,1767219,1725.8,1.685,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol3,aggr0,,tmnap01a.tm.intel.com,07/07/2014 06:56:21,0,false,07/07/2014 19:41:18,1767219,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/09/2011 14:00:24,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,14510,14.17,0.014,07/07/2014 06:56:21,14.17,0.014,flex,4.31,,false,false,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880005,,1835.942,1.793,true,tm_ec_vmware_infrastructure tm_disks_ec_tm_adm TM-camera_algor_disk002 ,false,31525118,1,0.001,0.0,1,cmsbak002.isw.intel.com,1,,0,tmsbak001-MSDP,,5,false,,false,,tm,false,,disabled,vol3,aggr0,,tmnap01b.tm.intel.com,07/07/2014 07:33:46,1,false,07/07/2014 19:36:21,1,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,11/04/2011 16:01:57,,1880006,1835.943,1.793,2211772,2159,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,4,31876689,NETAPP,1469386,1434.947,1.401,07/07/2014 07:33:46,1434.947,1.401,flex,242.88,,false,false,7.35,0.0,1609.0,1338.88,0.0,3.0,17398.0,228.23,2.0
