AdminPermissions,AllocatorPermissions,AllowedPathPrefix,AllowedProperties,ApproversOnCreate,ApproversOnDataDelete,ApproversOnDelete,ApproversOnExtend,ApproversOnResize,AreasNum,AreasPrivateSize,AreasSharedSize,AreasSize,AreasSizeGB,AreasSizeTB,AreasUsage,AreasUsageGB,AreasUsageTB,AvailableSize,AvailableSizeGB,AvailableSizePerSharedPool,AvailableSizePerSharedPoolGB,AvailableSizePerSharedPoolTB,AvailableSizeTB,BusinessGroup,CachePermissions,CacheSize,Cell,DefaultGrace,DefaultPathPrefix,DefaultProperties,DiskSelectionStrategy,DiskSelectionStrategyCache,FSGroup,FSPermissions,FileSystemGroup,FileSystemPermissions,GlobalPathPrefix,LocalPathPrefix,MaxActiveAreas,MaxActiveSize,MaxCacheSize,MaxDisabledPeriod,MaxDuration,MaxGrace,MaxSize,MemberResources,MemberResourcesCache,Permissions,Policies,Project,QSlot,ReplicatorPermissions,RequiredProperties,SharedPools,Status,StodFSPermissions,TotalPrivateSize,TotalSharedSize,TotalSize,TotalSizeGB,TotalSizeTB,Type,User,ViewPermissions
,,,,,,,,,1,35840,0,35840,35.0,0.034,0,0.0,0.0,211430,206.475,0,0.0,0.0,0.202,ADG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,sinap01b.ir.intel.com:vol1 ,,,,nexus_root,,,,,Compliant,,2619904,0,2619904,2558.5,2.499,User,others,
,,,,,,,,,1,35840,0,35840,35.0,0.034,32694,31.928,0.031,211430,206.475,0,0.0,0.0,0.202,ADG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,sinap01b.ir.intel.com:vol1 ,,,,nexus_root,,,,,Compliant,,2619904,0,2619904,2558.5,2.499,Project,,
gquinn mjphelps dleahy1,,,,,,,,,1,35840,0,35840,35.0,0.034,32694,31.928,0.031,0,0.0,0,0.0,0.0,0.0,ADG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,rdoceall,,,,,,,Compliant,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,593920,0,593920,580.0,0.566,0,0.0,0.0,2685828,2622.879,0,0.0,0.0,2.561,AIG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,,,,mnr,,,,,Compliant,,6495108,0,6495108,6342.879,6.194,User,others,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,2685828,2622.879,0,0.0,0.0,2.561,AIG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,,,,mnr,,,,,Compliant,,6495108,0,6495108,6342.879,6.194,User,psobon,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,2,593920,0,593920,580.0,0.566,532856,520.367,0.508,2685828,2622.879,0,0.0,0.0,2.561,AIG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,2048000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 gkefs01a.igk.intel.com:vol10 ,,psobon kperycz,,mnr,,,,,Compliant,,6495108,0,6495108,6342.879,6.194,Project,,
amaczuga dleahy1,,,,,,,,,2,593920,0,593920,580.0,0.566,532856,520.367,0.508,0,0.0,0,0.0,0.0,0.0,AIG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,,,,,,Compliant,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,256000,0,256000,250.0,0.244,0,0.0,0.0,1243914,1214.76,0,0.0,0.0,1.186,APSS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,,CAS_Linux,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,User,others,
,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,256000,0,256000,250.0,0.244,199949,195.263,0.191,1243914,1214.76,0,0.0,0.0,1.186,APSS,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,,CAS_Linux,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,Project,,
,,,,,,,,,2,215040,0,215040,210.0,0.205,0,0.0,0.0,1243914,1214.76,0,0.0,0.0,1.186,APSS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gknap01a:* ,,,,FalconValley,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,User,others,
,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca wchilins,,jdkarpin iszuca wchilins,jdkarpin iszuca wchilins,jdkarpin iszuca wchilins,2,215040,0,215040,210.0,0.205,192704,188.188,0.184,1243914,1214.76,0,0.0,0.0,1.186,APSS,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gknap01a:* ,,,,FalconValley,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,Project,,
wchilins jdkarpin,,,,,,,,,4,471040,0,471040,460.0,0.449,392653,383.45,0.374,0,0.0,0,0.0,0.0,0.0,APSS,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,jwojcik arejment gkblditp,,,,,,,Compliant,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,1,102400,0,102400,100.0,0.098,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,ASD,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,KendrickPeak,,,,,Removed,,0,0,0,0.0,0.0,User,others,
,,,,,,,,,1,102400,0,102400,100.0,0.098,29167,28.483,0.028,0,0.0,0,0.0,0.0,0.0,ASD,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,KendrickPeak,,,,,Removed,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,5,6014976,0,6014976,5874.0,5.736,0,0.0,0.0,2062065,2013.735,0,0.0,0.0,1.967,ASD,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol2 kanap01b.ka.intel.com:vol2 kanap01a.ka.intel.com:vol7 ,,,,ivi,,,,,Compliant,,10866417,0,10866417,10611.735,10.363,User,others,
,,/nfs/ka/disks,,,,,,,5,6014976,0,6014976,5874.0,5.736,1751949,1710.888,1.671,2062065,2013.735,0,0.0,0.0,1.967,ASD,,0,,unlimited,/nfs/ka/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,3072000,kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol2 kanap01b.ka.intel.com:vol2 kanap01a.ka.intel.com:vol7 ,,aschaefe jquast,,ivi,,,,,Compliant,,10866417,0,10866417,10611.735,10.363,Project,,
,,,,,,,,,7,4335616,0,4335616,4234.0,4.135,0,0.0,0.0,3086459,3014.12,0,0.0,0.0,2.943,ASD,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,kanap01a.ka.intel.com:vol1 kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol3 kaefs01a.ka.intel.com:vol4 ,,,,kendrick_peak,,,,,Compliant,,9957499,0,9957499,9724.12,9.496,User,others,
aschaefe dleahy1,,/nfs/ka/disks,,,,,,,7,4335616,0,4335616,4234.0,4.135,1631052,1592.824,1.555,3086459,3014.12,0,0.0,0.0,2.943,ASD,,0,,unlimited,/nfs/ka/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,2048000,kanap01a.ka.intel.com:vol1 kanap01a.ka.intel.com:vol8 kaefs01a.ka.intel.com:vol3 kaefs01a.ka.intel.com:vol4 ,,jquast drogers,,kendrick_peak,,,,,Compliant,,9957499,0,9957499,9724.12,9.496,Project,,
aschaefe dleahy1,,,,,,,,,13,10452992,0,10452992,10208.0,9.969,3412168,3332.195,3.254,0,0.0,0,0.0,0.0,0.0,ASD,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,,,,,,,,,,Compliant,,0,0,0,0.0,0.0,Business Group,,
,,,,,,,,,2,22528,0,22528,22.0,0.021,0,0.0,0.0,526786,514.439,0,0.0,0.0,0.502,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol4 ,,,,AudioDSP,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
iszuca jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,22528,0,22528,22.0,0.021,2506,2.447,0.002,526786,514.439,0,0.0,0.0,0.502,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gkefs01a.igk.intel.com:vol4 ,,mkotarsk,,AudioDSP,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,2,276480,0,276480,270.0,0.264,0,0.0,0.0,593577,579.665,0,0.0,0.0,0.566,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 gkefs01a.igk.intel.com:vol4 ,,,,CCG-releases,,,,,Compliant,,6495109,0,6495109,6342.88,6.194,User,others,
