Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,AppearsInAutoDetection,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,LastAutoDetectedTime,MaxAvailableAreaSize,MaxUsageFactor,MountDir,MountName,NoBackup,NotAutoDetectedAttempts,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,true,,true,10303616,26112,25.5,0.025,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,root,aggr0,,spnap01a.upc.intel.com,07/07/2014 02:13:14,0,false,07/07/2014 19:08:20,26112,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:39,,26112,25.5,0.025,30720,30,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,10310779,NETAPP,1407,1.374,0.001,07/07/2014 02:13:14,1.374,0.001,flex,11.33,,false,true,6.23,20.0,141.0,7.32,0.0,23.0,1881.0,65.19,2.0
0,,0.0,0.0,true,,true,10303563,26112,25.5,0.025,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,root,aggr0,,spnap01b.upc.intel.com,07/07/2014 15:14:34,0,false,07/07/2014 19:19:24,26112,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:47,,26112,25.5,0.025,30720,30,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,10310779,NETAPP,1575,1.538,0.002,07/07/2014 15:14:34,1.538,0.002,flex,29.81,,false,true,23.1,50.0,582.0,101.4,2.0,54.0,2085.0,132.32,1.0
1792000,,1750.0,1.709,true,upc_disks_bssad_knl_users_disk002 upc_disks_bssad_knl_disk002 ,true,26218236,77619,75.8,0.074,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol0,aggr0,,spnap01a.upc.intel.com,07/07/2014 08:59:04,18,false,07/07/2014 19:08:20,77619,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:39,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,1069793,1044.72,1.02,07/07/2014 08:59:04,1044.72,1.02,flex,204.35,,false,false,28.56,257.0,1311140.0,1110.29,32.0,334.0,1763096.0,556.27,44.0
1797120,,1755.0,1.714,true,upc_disks_bssad_lrb_users_disk001a upc_disks_bssad_p14_disk001a upc_disks_bssad_lrb_disk001 upc_disks_bssad_vsse_disk001a ,true,16943499,72499,70.8,0.069,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol0,aggr0,,spnap01b.upc.intel.com,07/07/2014 10:06:04,47,false,07/07/2014 19:19:24,72499,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:47,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,1490995,1456.05,1.422,07/07/2014 10:06:04,1456.05,1.422,flex,1533.15,,false,false,1570.56,3.0,0.0,0.0,0.0,3.0,595.0,430.09,0.0
1587200,,1550.0,1.514,true,upc_disks_bssad_knl_disk001a upc_disks_bssad_avisa_disk001 ,true,28712642,282419,275.8,0.269,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol1,aggr0,,spnap01a.upc.intel.com,07/07/2014 12:02:15,10,false,07/07/2014 19:08:20,282419,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:39,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,631797,616.989,0.603,07/07/2014 12:02:15,616.989,0.603,flex,125.95,,false,false,57.61,1.0,696.0,197.66,1.0,2.0,0.0,0.0,0.0
1244160,,1215.0,1.187,true,upc_disks_bssad_knh_disk002 upc_disks_bssad_gestio_disk001 upc_disks_upc_asim_disk001 upc_disks_bssad_proj_disk001 upc_disks_bssad_knh_users_disk001 upc_disks_bssad_dpg_disk002 upc_disks_bssad_knh_disk001 ,true,27335855,625459,610.8,0.596,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol1,aggr0,,spnap01b.upc.intel.com,07/07/2014 12:05:25,14,false,07/07/2014 19:19:24,625459,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,07/05/2011 12:23:47,,1869619,1825.8,1.783,2199552,2148,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,652365,637.075,0.622,07/07/2014 12:05:25,637.075,0.622,flex,311.71,,false,false,40.15,65.0,33574.0,14958.85,1.0,67.0,0.0,0.0,0.0
2048000,,2000.0,1.953,true,upc_disks_ibrc_simics_nobck_disk001 ,true,29932275,145408,142.0,0.139,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol10,aggr2,,spnap01b.upc.intel.com,07/07/2014 16:16:26,6,false,07/07/2014 19:19:24,145408,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/14/2013 14:55:41,,2193408,2142.0,2.092,2580480,2520,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,779691,761.417,0.744,07/07/2014 16:16:26,761.417,0.744,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,31876572,2193408,2142.0,2.092,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol11,aggr2,,spnap01b.upc.intel.com,07/07/2014 13:42:56,0,false,07/07/2014 19:19:24,2193408,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/14/2013 14:55:41,,2193408,2142.0,2.092,2580480,2520,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,30,0.029,0.0,07/07/2014 13:42:56,0.029,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,true,,true,31876572,2193408,2142.0,2.092,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol12,aggr1,,spnap01b.upc.intel.com,07/07/2014 16:15:19,0,false,07/07/2014 19:19:24,2193408,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/15/2013 11:12:57,,2193408,2142.0,2.092,2580480,2520,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,26,0.025,0.0,07/07/2014 16:15:19,0.025,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058240,,2010.0,1.963,true,upc_disks_bssad_willy_object_cache upc_disks_ibrc_saqqara_nobck_disk001 ,true,31793680,135168,132.0,0.129,1,cmsbak002.isw.intel.com,1,,0,spsbak002-MSDP,,7,false,,false,,upc,false,,disabled,vol13,aggr1,,spnap01b.upc.intel.com,07/07/2014 02:59:34,0,false,07/07/2014 19:19:24,135168,1.0,/nfs/site/stod,,false,0,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,05/15/2013 11:12:57,,2193408,2142.0,2.092,2580480,2520,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,825610,806.26,0.787,07/07/2014 02:59:34,806.26,0.787,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
